"","V1","V2","V3","V4","V5","V6"
"A",0.0745823221547882,29.9163341616201,-29.9999201070012,-0.0341659357215355,0.0979187919643202,4.99999999998404
"AAL",0.0746391383823085,29.2656388173984,-29.4293604294575,-0.0347254627135097,0.0450098906586947,4.9999999964354
"AAP",0.0745832544074799,29.9162748006039,-29.9998586265187,-0.0341707819345898,0.097908533821276,4.99999999999028
"AAPL",0.0746387945035065,28.9379165508955,-29.1489163542264,-0.0347238260012918,0.0349241690706017,4.99999999999241
"ABBV",0.0745829775532822,29.794237401128,-29.8777873343711,-0.0341700241130596,0.097940579011486,4.99999995304697
"ABC",0.0745829718144012,29.9163191411886,-29.9999027442315,-0.0341694106101434,0.0979101453908114,4.99999999997748
"ABT",0.0746390147897741,18.3704652614361,-18.7210791877003,-0.0347249720216404,0.0210168775256688,4.99999999998817
"ACN",0.074638782456461,15.3183198681251,-15.6175356086492,-0.0347238440701966,0.0246272650990652,4.99999999999746
"ADBE",0.074638612181826,12.4616317156043,-12.7702289476134,-0.0347228890488945,0.0238794217712533,4.99999999999754
"ADI",0.074638947720367,29.6895585739152,-29.8793353947958,-0.034724480820555,0.0388303383759234,4.99999999988371
"ADM",0.0745827992769745,27.5152384231379,-27.5981429059193,-0.0341684171434575,0.0987147955340957,4.99999994405556
"ADP",0.0746387336680183,21.9606505528232,-22.1862416156296,-0.0347235800363012,0.0326649234878511,4.99999999998232
"ADS",0.0745830115005068,29.9163521005963,-29.9999381037033,-0.0341693938795049,0.0979130095127942,4.99999999996447
"ADSK",0.0746387862960505,28.6506839608469,-28.8157667513374,-0.0347235227257642,0.0446402573961343,4.99999999262328
"AEE",0.0746387094730282,29.2465176471158,-29.4154863403189,-0.0347235885019085,0.0436099887006875,4.99999999972959
"AEP",0.0746387121816839,14.5124721087354,-14.8123832793223,-0.0347235394141816,0.0245699820358194,4.99999999995276
"AES",0.0746392562824165,29.6713460426691,-29.8779193788018,-0.0347260379370529,0.0356723367955832,4.99999999997398
"AET",0.0746388656281497,14.1690259450816,-14.4179820270317,-0.0347241377317843,0.0295997048820529,4.99999999999443
"AFL",0.0746415886542887,29.177874415239,-29.2746359243402,-0.0347048496127528,0.0768149293906367,4.99949063448723
"AGN",0.074639452299931,29.7297409999371,-29.9395432027074,-0.0347269817497375,0.0351233734521673,4.99999999998919
"AIG",0.0746389647954818,29.0591049385877,-29.2674713013393,-0.0347247345204816,0.0353646346543293,4.99999999997379
"AIV",0.0746388484994348,11.8745037736123,-12.1534708734981,-0.0347241717907512,0.0264147463766687,4.99999999998942
"AIZ",0.0745824416174499,29.9164004972761,-29.9999860666911,-0.0341666068115073,0.0979166752657556,4.99999999998276
"AJG",0.0746387180043814,28.0465669094717,-28.2573074557218,-0.0347235667053363,0.0349661969802778,4.9999999999928
"AKAM",0.0745835276455385,29.9162694042644,-29.9998574033554,-0.0341717924012057,0.0979117226087279,4.99999999996391
"ALB",0.0746386925910719,21.6444698818298,-21.9002866176147,-0.0347230814101901,0.0288078028045475,4.99999999999937
"ALGN",0.0746385030011687,15.2814789692713,-15.6233358226543,-0.0347221221562252,0.0215575689077371,4.99999999998069
"ALK",0.0746391244964777,29.6644014967111,-29.8682589963496,-0.0347253600742995,0.0361480838487985,4.99999999999052
"ALL",0.0746385676346417,6.63747454225377,-6.87252463444465,-0.0347228254079959,0.0313501882966868,4.99999999998921
"ALLE",0.0746388148786761,29.2338231940845,-29.4410305398471,-0.0347239652909091,0.0355630126540232,4.99999999999306
"ALXN",0.0746398335793087,29.5357742576949,-29.7186086653132,-0.0347285915067454,0.0403059075192927,4.99999999988136
"AMAT",0.0746385485163785,13.2412444452709,-13.596520476693,-0.0347224050934719,0.0207429216502104,4.9999999999977
"AMD",0.074640326372658,28.9063805059488,-29.146188966819,-0.0347294265713701,0.030742133400857,4.99999999996878
"AME",0.0746390362585573,29.3391417784303,-29.5009960011892,-0.0347249103797889,0.0455278585898279,4.99999999631015
"AMG",0.0746393544716985,27.1234965847526,-27.2728989137661,-0.0347268345676712,0.0493189979857843,4.99999998632541
"AMGN",0.0746390655160911,27.8959646129998,-28.1146255431093,-0.0347251665656173,0.0337000899528585,4.99999999999598
"AMP",0.0745827006372247,29.9163564791269,-29.9999433458742,-0.0341677706858228,0.0979165006949331,4.99999999997587
"AMZN",0.0746387024851917,23.7103834820824,-23.962483503735,-0.0347232385113495,0.029231585737866,4.99999999999995
"ANDV",0.0745831209847398,29.9163181185541,-29.9999054839898,-0.034169826197112,0.097913940728959,4.99999999996831
"ANSS",0.074638769193668,29.734791996588,-29.9208510174096,-0.0347237405943949,0.0396051843089345,4.99999999983412
"ANTM",0.0745824974708557,29.916214289242,-29.9997998084533,-0.0341668692697961,0.0979166345026009,4.99999999997419
"AON",0.0745822755899712,29.9163831808315,-29.999967214844,-0.0341659088555101,0.0979162687808239,4.99999999999182
"AOS",0.0746387030751321,17.6966188766109,-17.9257167083635,-0.0347233417291191,0.0321656815260431,4.99999999995596
"APA",0.074583561130622,29.9163215458356,-29.9999142917543,-0.034171536410564,0.0979172972889834,4.99999999998124
"APC",0.0746401639562988,11.1301777245603,-11.3713572990418,-0.03473013033143,0.03055561368821,4.99999999998462
"APD",0.074638926472051,5.49446342776144,-5.91600426022304,-0.0347245794919806,0.0174804661978638,4.99999999999625
"APH",0.0746386592871059,17.3713553904213,-17.706553376809,-0.0347232568692469,0.0219836853209174,4.99999999999051
"ARE",0.0745823858763737,29.9162908710559,-29.9998754037119,-0.0341663931431092,0.0979162471079014,4.99999999999327
"ARNC",0.0745835656704357,29.9161013249154,-29.9996963789605,-0.034171335532324,0.097920914628894,4.99999999999506
"ATVI",0.0746397799901863,25.9372427668096,-26.0715373182347,-0.0347272966624598,0.054874881929746,4.99999921941539
"AVB",0.0746388467603934,28.9940610440799,-29.1724990953036,-0.0347241933778922,0.0412958428137996,4.99999999896675
"AVGO",0.0746497812265011,28.7097362801717,-28.8151660300652,-0.0347715918105962,0.0699334700393062,4.99996402018942
